Genomic bins,Domain,Phylum,Class,Order,Family,Genus,Species,Cluster
bin.111,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__QHBQ01,f__JADMIH01,g__JADMIH01,s__,1
bin.116,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.118,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.124,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.145,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Solirubrobacterales,f__70-9,g__,s__,1
bin.130,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.151,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__AV69,s__,1
bin.146,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Solirubrobacterales,f__70-9,g__VRUE01,s__,1
bin.171,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__,1
bin.174,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.170,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__,s__,1
bin.164,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.197,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.198,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Luteimonas_B,s__,1
bin.191,d__Bacteria,p__Actinomycetota,c__UBA4738,o__UBA4738,f__HRBIN12,g__,s__,1
bin.189,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__,1
bin.206,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,f__Dermatophilaceae,g__,s__,1
bin.209,d__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__,1
bin.205,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__JALYGJ01,s__,1
bin.202,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides_B,s__,1
bin.201,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__JALYGJ01,s__,1
bin.204,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.203,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,f__Dermatophilaceae,g__Lapillicoccus,s__,1
bin.51,d__Bacteria,p__Actinomycetota,c__Acidimicrobiia,o__IMCC26256,f__IMCC26256,g__,s__,1
